,tp,fp,fn,precision,recall,f1
material,6.896551724137931,4.413793103448276,27.413793103448278,0.5004720716101094,0.3173171134618466,0.3308232945950279
shape,3.9655172413793105,7.344827586206897,30.344827586206897,0.29337419990777525,0.20408798576902026,0.21634022397557537
coat_functional_group,2.2413793103448274,9.068965517241379,32.06896551724138,0.1630766956878572,0.09717432950191571,0.1018754556316096
synthesis_method,3.0172413793103448,8.293103448275861,31.29310344827586,0.2100108087350534,0.17725095785440612,0.16254407596460763
surface_charge,4.862068965517241,6.448275862068965,29.448275862068964,0.327621646173477,0.24493021346469626,0.2430818332071016
core_nm,0.0,11.310344827586206,34.310344827586206,0.0,0.0,0.0
size_in_medium_nm,1.1379310344827587,10.172413793103448,33.172413793103445,0.08892921960072596,0.06688218390804597,0.0567155111661928
hydrodynamic_nm,0.7586206896551724,10.551724137931034,33.55172413793103,0.04792219274977896,0.026399977351225862,0.027329212752114508
potential_mv,3.189655172413793,8.120689655172415,31.120689655172413,0.19481881681892357,0.1746784345922277,0.15706668442678734
zeta_in_medium_mv,1.206896551724138,10.10344827586207,33.10344827586207,0.10397316821465427,0.08297413793103449,0.07426275666465916
no_of_cells_cells_well,1.1379310344827587,10.172413793103448,33.172413793103445,0.09814323607427056,0.028160919540229885,0.04158901740352395
human_animal,9.706896551724139,1.603448275862069,24.603448275862068,0.7054774828655207,0.4608022879517776,0.4815346108280807
cell_source,9.293103448275861,2.0172413793103448,25.017241379310345,0.6655153616533995,0.44824755341428435,0.46533638831977797
cell_tissue,4.948275862068965,6.362068965517241,29.362068965517242,0.3725891786410095,0.29766159271212783,0.28273185190912886
cell_morphology,3.810344827586207,7.5,30.5,0.2571988218713424,0.1991291624986631,0.18970254999800568
cell_age,4.982758620689655,6.327586206896552,29.32758620689655,0.3882033058930679,0.2560550082101807,0.2689683095681107
time_hr,5.379310344827586,5.931034482758621,28.93103448275862,0.38335274739139374,0.277182491109801,0.27738666668407813
concentration,1.5862068965517242,9.724137931034482,32.724137931034484,0.13163880668951664,0.0483955938697318,0.0675258773761588
test,4.896551724137931,6.413793103448276,29.413793103448278,0.41388096241504474,0.27436339786518144,0.28166632020866605
test_indicator,3.1206896551724137,8.189655172413794,31.189655172413794,0.2525058275058275,0.18531403940886698,0.1905382935407296
viability_%,0.3448275862068966,10.96551724137931,33.96551724137931,0.021374889478337756,0.015900383141762453,0.017033351085075223
