,tp,fp,fn,precision,recall,f1
material,0.4482758620689655,2.086206896551724,33.86206896551724,0.19166666666666668,0.02477863169638184,0.04136707984040014
shape,1.0517241379310345,1.4827586206896552,33.258620689655174,0.41695402298850576,0.06287185233270592,0.09940004268506923
coat_functional_group,0.4827586206896552,2.0517241379310347,33.827586206896555,0.18362068965517242,0.026927044553994257,0.04260560796851988
synthesis_method,0.3448275862068966,2.189655172413793,33.96551724137931,0.139367816091954,0.022096069207784872,0.0343596161722338
surface_charge,0.8275862068965517,1.706896551724138,33.48275862068966,0.3255747126436782,0.04615674076880974,0.07381220877652665
core_nm,0.0,2.5344827586206895,34.310344827586206,0.0,0.0,0.0
size_in_medium_nm,0.0,2.5344827586206895,34.310344827586206,0.0,0.0,0.0
hydrodynamic_nm,0.10344827586206896,2.4310344827586206,34.206896551724135,0.041666666666666664,0.006622879036672139,0.010696961708955713
potential_mv,0.017241379310344827,2.5172413793103448,34.293103448275865,0.004310344827586207,0.004310344827586207,0.004310344827586207
zeta_in_medium_mv,0.0,2.5344827586206895,34.310344827586206,0.0,0.0,0.0
no_of_cells_cells_well,0.1724137931034483,2.3620689655172415,34.13793103448276,0.07471264367816093,0.009234874321081218,0.015355688184131853
human_animal,1.5344827586206897,1.0,32.775862068965516,0.6022988505747127,0.09006812915727011,0.1402372235444404
cell_source,1.3103448275862069,1.2241379310344827,33.0,0.5204022988505748,0.08142265489422751,0.12485280040210317
cell_tissue,0.4482758620689655,2.086206896551724,33.86206896551724,0.17931034482758618,0.02457746526934993,0.039195951328917955
cell_morphology,0.8103448275862069,1.7241379310344827,33.5,0.31724137931034485,0.04837203931511303,0.07318957116738863
cell_age,1.5344827586206897,1.0,32.775862068965516,0.5991379310344828,0.08963006777626617,0.1433618570603887
time_hr,0.0,2.5344827586206895,34.310344827586206,0.0,0.0,0.0
concentration,0.6724137931034483,1.8620689655172413,33.63793103448276,0.29022988505747127,0.039296397615009825,0.06460950368528276
test,0.7241379310344828,1.8103448275862069,33.58620689655172,0.27672413793103445,0.04632098834907991,0.07175308671266235
test_indicator,1.0172413793103448,1.5172413793103448,33.293103448275865,0.3859195402298851,0.060920092406808055,0.09629733130702543
viability_%,0.017241379310344827,2.5172413793103448,34.293103448275865,0.004310344827586207,0.0007183908045977011,0.0012315270935960591
