,tp,fp,fn,precision,recall,f1
material,0.4482758620689655,2.086206896551724,33.86206896551724,0.19166666666666668,0.02477863169638184,0.04136707984040014
shape,1.0344827586206897,1.5,33.275862068965516,0.4083333333333333,0.06143507072351053,0.0969369884978771
coat_functional_group,0.4827586206896552,2.0517241379310347,33.827586206896555,0.18362068965517242,0.026927044553994257,0.04260560796851988
synthesis_method,0.3448275862068966,2.189655172413793,33.96551724137931,0.139367816091954,0.022096069207784872,0.0343596161722338
surface_charge,0.8275862068965517,1.706896551724138,33.48275862068966,0.3255747126436782,0.04615674076880974,0.07381220877652665
core_nm,0.0,2.5344827586206895,34.310344827586206,0.0,0.0,0.0
size_in_medium_nm,0.0,2.5344827586206895,34.310344827586206,0.0,0.0,0.0
hydrodynamic_nm,0.10344827586206896,2.4310344827586206,34.206896551724135,0.041666666666666664,0.006622879036672139,0.010696961708955713
potential_mv,0.017241379310344827,2.5172413793103448,34.293103448275865,0.004310344827586207,0.004310344827586207,0.004310344827586207
zeta_in_medium_mv,0.0,2.5344827586206895,34.310344827586206,0.0,0.0,0.0
no_of_cells_cells_well,0.1724137931034483,2.3620689655172415,34.13793103448276,0.07471264367816093,0.009234874321081218,0.015355688184131853
human_animal,1.5172413793103448,1.0172413793103448,32.793103448275865,0.5936781609195403,0.0886313475480747,0.1377741693572483
cell_source,1.3103448275862069,1.2241379310344827,33.0,0.5204022988505748,0.08142265489422751,0.12485280040210317
cell_tissue,0.43103448275862066,2.103448275862069,33.87931034482759,0.1735632183908046,0.02170390205095913,0.03536453370439688
cell_morphology,0.7413793103448276,1.793103448275862,33.56896551724138,0.2827586206896551,0.04154253739940422,0.06429106933602195
cell_age,1.0862068965517242,1.4482758620689655,33.224137931034484,0.40948275862068967,0.0572203797631299,0.09408070875129537
time_hr,0.0,2.5344827586206895,34.310344827586206,0.0,0.0,0.0
concentration,0.6724137931034483,1.8620689655172413,33.63793103448276,0.29022988505747127,0.039296397615009825,0.06460950368528276
test,0.7413793103448276,1.793103448275862,33.56896551724138,0.28103448275862064,0.04693675189587794,0.07283067291955889
test_indicator,0.9310344827586207,1.603448275862069,33.37931034482759,0.3485632183908046,0.05629844489722951,0.08834539818267852
viability_%,0.017241379310344827,2.5172413793103448,34.293103448275865,0.004310344827586207,0.0007183908045977011,0.0012315270935960591
