,tp,fp,fn,precision,recall,f1
name,0.0,2.7333333333333334,5.55,0.0,0.0,0.0
np_core,0.9666666666666667,1.7666666666666666,4.583333333333333,0.4075396825396825,0.22499669312169307,0.26241498353727455
np_shell,1.1166666666666667,1.6166666666666667,4.433333333333334,0.32216810966810966,0.21548881673881673,0.2367556517556518
core_shell_formula,0.8333333333333334,1.9,4.716666666666667,0.28792929292929287,0.16570376382876384,0.18899103820156452
np_shell_2,2.4,0.3333333333333333,3.15,0.7777777777777778,0.474845177970178,0.534639413447463
np_hydro_size,0.21666666666666667,2.5166666666666666,5.333333333333333,0.0625,0.04,0.04423400673400673
xrd_scherrer_size,0.2,2.533333333333333,5.35,0.07777777777777778,0.0393287037037037,0.04819966583124478
emic_size,0.5333333333333333,2.2,5.016666666666667,0.18388888888888888,0.13526515151515153,0.13689393939393937
space_group_core,1.0,1.7333333333333334,4.55,0.30277777777777776,0.23082070707070704,0.24049663299663301
space_group_shell,1.2833333333333334,1.45,4.266666666666667,0.3527777777777778,0.28776515151515153,0.29014309764309765
squid_sat_mag,0.7666666666666667,1.9666666666666666,4.783333333333333,0.20265151515151517,0.16798611111111109,0.1589916189761391
squid_rem_mag,0.7833333333333333,1.95,4.766666666666667,0.2409090909090909,0.1725631313131313,0.18859788359788357
exchange_bias_shift_Oe,0.0,2.7333333333333334,5.55,0.0,0.0,0.0
vertical_loop_shift_M_vsl_emu_g,0.1,2.6333333333333333,5.45,0.03888888888888888,0.016755952380952382,0.020735867446393764
hc_kOe,0.05,2.683333333333333,5.5,0.010317460317460317,0.004375,0.005675954592363261
squid_h_max,0.38333333333333336,2.35,5.166666666666667,0.16904761904761903,0.07880681818181819,0.0904779104624306
zfc_h_meas,0.0,2.7333333333333334,5.55,0.0,0.0,0.0
instrument,0.2,2.533333333333333,5.35,0.051388888888888894,0.060000000000000005,0.05277777777777778
fc_field_T,0.1,2.6333333333333333,5.45,0.06111111111111111,0.037222222222222226,0.04404761904761905
squid_temperature,1.0333333333333334,1.7,4.516666666666667,0.34404761904761905,0.19604888167388165,0.2196950821796023
coercivity,0.48333333333333334,2.25,5.066666666666666,0.15202020202020203,0.10200757575757576,0.11267195767195767
htherm_sar,0.05,2.683333333333333,5.5,0.0125,0.0125,0.0125
mri_r1,0.6,2.1333333333333333,4.95,0.17222222222222222,0.13922348484848485,0.1461868686868687
mri_r2,0.75,1.9833333333333334,4.8,0.17638888888888887,0.1515151515151515,0.1430723905723906
