,tp,fp,fn,precision,recall,f1
name,0.016666666666666666,2.216666666666667,5.533333333333333,0.016666666666666666,0.0023809523809523807,0.004166666666666667
np_core,0.8166666666666667,1.4166666666666667,4.733333333333333,0.3238888888888889,0.1888425925925926,0.20829220000272633
np_shell,0.75,1.4833333333333334,4.8,0.2911111111111111,0.18323863636363633,0.20609445622603514
core_shell_formula,0.36666666666666664,1.8666666666666667,5.183333333333334,0.15,0.08162758537758537,0.08854010025062657
np_shell_2,1.85,0.38333333333333336,3.7,0.7094444444444444,0.4067908249158249,0.46160141314940095
np_hydro_size,0.18333333333333332,2.05,5.366666666666666,0.0638888888888889,0.04287878787878788,0.05017857142857143
xrd_scherrer_size,0.11666666666666667,2.1166666666666667,5.433333333333334,0.05333333333333334,0.02486111111111111,0.02846560846560847
emic_size,0.3333333333333333,1.9,5.216666666666667,0.1611111111111111,0.08589646464646465,0.09519179894179894
space_group_core,0.6833333333333333,1.55,4.866666666666666,0.2972222222222223,0.18936237373737372,0.20206209969367864
space_group_shell,0.95,1.2833333333333334,4.6,0.38333333333333325,0.23360479797979797,0.2590599629415419
squid_sat_mag,0.45,1.7833333333333334,5.1,0.1861111111111111,0.12512626262626264,0.12394148392600404
squid_rem_mag,0.7,1.5333333333333334,4.85,0.26666666666666666,0.1533270202020202,0.17331922220080115
exchange_bias_shift_Oe,0.03333333333333333,2.2,5.516666666666667,0.016666666666666666,0.008333333333333333,0.01111111111111111
vertical_loop_shift_M_vsl_emu_g,0.2,2.033333333333333,5.35,0.09166666666666666,0.041848544973544975,0.04983639654692286
hc_kOe,0.03333333333333333,2.2,5.516666666666667,0.01111111111111111,0.005555555555555555,0.007407407407407407
squid_h_max,0.38333333333333336,1.85,5.166666666666667,0.15555555555555553,0.08180555555555555,0.09412087912087913
zfc_h_meas,0.0,2.2333333333333334,5.55,0.0,0.0,0.0
instrument,0.43333333333333335,1.8,5.116666666666666,0.1486111111111111,0.10623737373737373,0.10939255189255188
fc_field_T,0.2833333333333333,1.95,5.266666666666667,0.10277777777777777,0.08055555555555556,0.08317460317460318
squid_temperature,0.8,1.4333333333333333,4.75,0.3152777777777778,0.15460948773448774,0.1896215310031099
coercivity,0.5166666666666667,1.7166666666666666,5.033333333333333,0.2,0.10277146464646464,0.12424514812672707
htherm_sar,0.0,2.2333333333333334,5.55,0.0,0.0,0.0
mri_r1,0.2,2.033333333333333,5.35,0.08888888888888889,0.057847222222222223,0.06649331662489558
mri_r2,0.2833333333333333,1.95,5.266666666666667,0.12777777777777777,0.09340277777777778,0.09091130604288498
