,tp,fp,fn,precision,recall,f1
np,0.5671641791044776,0.31343283582089554,7.08955223880597,0.12313432835820895,0.048243521907239933,0.06251569768744171
coating,0.4925373134328358,0.3880597014925373,7.164179104477612,0.11940298507462686,0.03878967215614972,0.05151065795105869
bacteria,0.835820895522388,0.04477611940298507,6.82089552238806,0.17013148542999293,0.07415658332824548,0.08933688644892895
mdr,0.5373134328358209,0.34328358208955223,7.119402985074627,0.11082089552238805,0.048836770954792344,0.05806853304808733
strain,0.6268656716417911,0.2537313432835821,7.029850746268656,0.13390191897654585,0.056982436032266964,0.07088432422208746
np_synthesis,0.1044776119402985,0.7761194029850746,7.552238805970149,0.014925373134328358,0.014925373134328358,0.014925373134328358
method,0.7164179104477612,0.16417910447761194,6.940298507462686,0.15485074626865672,0.06796199237324604,0.08223205098588456
mic_np_µg_ml,0.2537313432835821,0.6268656716417911,7.402985074626866,0.05883084577114427,0.028891257995735605,0.034712799638172774
concentration,0.19402985074626866,0.6865671641791045,7.462686567164179,0.04477611940298507,0.008824299554857293,0.01424694708276798
zoi_np_mm,0.23880597014925373,0.6417910447761194,7.417910447761194,0.05348258706467661,0.016038229903116,0.023057787983161115
np_size_min_nm,0.26865671641791045,0.6119402985074627,7.388059701492537,0.05970149253731343,0.015289869118551793,0.02294954244964468
np_size_max_nm,0.3283582089552239,0.5522388059701493,7.3283582089552235,0.07462686567164178,0.017215723716529643,0.02636105630891973
np_size_avg_nm,0.373134328358209,0.5074626865671642,7.2835820895522385,0.08955223880597014,0.032386205617873365,0.04121051033747824
shape,0.7164179104477612,0.16417910447761194,6.940298507462686,0.14738805970149255,0.05837833172909838,0.07195128697377726
time_set_hours,0.7164179104477612,0.16417910447761194,6.940298507462686,0.14738805970149255,0.061363406355964045,0.07612621652184114
zeta_potential_mV,0.16417910447761194,0.7164179104477612,7.492537313432836,0.027985074626865673,0.01766155108140832,0.019687521297621483
solvent_for_extract,0.29850746268656714,0.582089552238806,7.358208955223881,0.07462686567164178,0.019703285905584372,0.02884861849797446
temperature_for_extract_C,0.47761194029850745,0.40298507462686567,7.17910447761194,0.08208955223880597,0.04688513951979234,0.051432129514321294
duration_preparing_extract_min,0.1791044776119403,0.7014925373134329,7.477611940298507,0.022388059701492536,0.02345415778251599,0.022885572139303482
precursor_of_np,0.5223880597014925,0.3582089552238806,7.134328358208955,0.09813432835820896,0.04866843085532248,0.05451896804892103
concentration_of_precursor_mM,0.3880597014925373,0.4925373134328358,7.268656716417911,0.07276119402985075,0.03898365316275764,0.04355495251017639
hydrodynamic_diameter_nm,0.16417910447761194,0.7164179104477612,7.492537313432836,0.020522388059701493,0.022388059701492536,0.021393034825870648
ph_during_synthesis,0.0,0.8805970149253731,7.656716417910448,0.0,0.0,0.0
