sn,material,shape,coat_functional_group,synthesis_method,surface_charge,size_in_medium_nm,zeta_in_medium_mv,no_of_cells_cells_well,human_animal,cell_source,cell_tissue,cell_morphology,cell_age,time_hr,concentration,test,test_indicator,viability_%,doi,article_list,core_nm,hydrodynamic_nm,potential_mv,cell_type,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
0,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000,A,Rat,,,,12,1.95,MTT,TetrazoliumSalt,113.67,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
1,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000,A,Rat,,,,12,3.9,MTT,TetrazoliumSalt,97.265,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
2,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000,A,Rat,,,,12,7.8,MTT,TetrazoliumSalt,108.73,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
3,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000,A,Rat,,,,12,15.6,MTT,TetrazoliumSalt,98.451,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
4,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000,A,Rat,,,,12,31.2,MTT,TetrazoliumSalt,98.056,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
5,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000,A,Rat,,,,12,62.5,MTT,TetrazoliumSalt,100.43,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
6,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000,A,Rat,,,,12,125,MTT,TetrazoliumSalt,95.881,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
7,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000,A,Rat,,,,12,250,MTT,TetrazoliumSalt,79.473,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
8,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000,A,Rat,,,,12,500,MTT,TetrazoliumSalt,94.893,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
9,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000,A,Rat,,,,12,1000,MTT,TetrazoliumSalt,79.275,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
