name,np_shell_2,np_hydro_size,xrd_scherrer_size,zfc_h_meas,htherm_sar,mri_r1,mri_r2,emic_size,instrument,core_shell_formula,np_core,np_shell,space_group_core,space_group_shell,squid_h_max,fc_field_T,squid_temperature,squid_sat_mag,coercivity,squid_rem_mag,exchange_bias_shift_Oe,vertical_loop_shift_M_vsl_emu_g,hc_kOe,doi,pdf,supp,journal,publisher,year,title,access,verification required,verified_by,verification_date,has_mistake_in_matadata,comment,article_name_folder,supp_info_name_folder
,,,,,250.0,,,12.5,,,Fe1,,,,20.0,,,211.0,190.0,50.0,,,,10.1002/anie.201609477,anie.201609477.pdf,anie.201609477_SI.pdf,Angewandte Chemie International Edition,Wiley,2016,Magnetically Induced Continuous CO<sub>2</sub> Hydrogenation Using Composite Iron Carbide Nanoparticles of Exceptionally High Heating Power,0,,,,,,dataset1_1,dataset1_1_supp
,,,,,560.0,,,12.5,,,Fe1,,,,20.0,,,211.0,190.0,50.0,,,,10.1002/anie.201609477,anie.201609477.pdf,anie.201609477_SI.pdf,Angewandte Chemie International Edition,Wiley,2016,Magnetically Induced Continuous CO<sub>2</sub> Hydrogenation Using Composite Iron Carbide Nanoparticles of Exceptionally High Heating Power,0,,,,,,dataset1_1,dataset1_1_supp
,,,,,829.0,,,12.5,,,Fe1,,,,20.0,,,211.0,190.0,50.0,-1290.0,,,10.1002/anie.201609477,anie.201609477.pdf,anie.201609477_SI.pdf,Angewandte Chemie International Edition,Wiley,2016,Magnetically Induced Continuous CO<sub>2</sub> Hydrogenation Using Composite Iron Carbide Nanoparticles of Exceptionally High Heating Power,0,,,,,,dataset1_1,dataset1_1_supp
,,,,,615.0,,,15.1,,,Fe2.2C1,,,,20.0,,,170.0,01.03,25.0,-3430.0,,,10.1002/anie.201609477,anie.201609477.pdf,anie.201609477_SI.pdf,Angewandte Chemie International Edition,Wiley,2016,Magnetically Induced Continuous CO<sub>2</sub> Hydrogenation Using Composite Iron Carbide Nanoparticles of Exceptionally High Heating Power,0,,,,,,dataset1_1,dataset1_1_supp
,,,,,1087.0,,,15.1,,,Fe2.2C1,,,,20.0,,,170.0,01.03,25.0,-4020.0,,,10.1002/anie.201609477,anie.201609477.pdf,anie.201609477_SI.pdf,Angewandte Chemie International Edition,Wiley,2016,Magnetically Induced Continuous CO<sub>2</sub> Hydrogenation Using Composite Iron Carbide Nanoparticles of Exceptionally High Heating Power,0,,,,,,dataset1_1,dataset1_1_supp
,,,,,1521.0,,,15.1,,,Fe2.2C1,,,,20.0,,,170.0,01.03,25.0,-5100.0,,,10.1002/anie.201609477,anie.201609477.pdf,anie.201609477_SI.pdf,Angewandte Chemie International Edition,Wiley,2016,Magnetically Induced Continuous CO<sub>2</sub> Hydrogenation Using Composite Iron Carbide Nanoparticles of Exceptionally High Heating Power,0,,,,,,dataset1_1,dataset1_1_supp
,,,,,2280.0,,,15.1,,,Fe2.2C1,,,,20.0,,,170.0,01.03,25.0,,,,10.1002/anie.201609477,anie.201609477.pdf,anie.201609477_SI.pdf,Angewandte Chemie International Edition,Wiley,2016,Magnetically Induced Continuous CO<sub>2</sub> Hydrogenation Using Composite Iron Carbide Nanoparticles of Exceptionally High Heating Power,0,,,,,,dataset1_1,dataset1_1_supp
,,,,,2645.0,,,15.1,,,Fe2.2C1,,,,20.0,,,170.0,01.03,25.0,,,,10.1002/anie.201609477,anie.201609477.pdf,anie.201609477_SI.pdf,Angewandte Chemie International Edition,Wiley,2016,Magnetically Induced Continuous CO<sub>2</sub> Hydrogenation Using Composite Iron Carbide Nanoparticles of Exceptionally High Heating Power,0,,,,,,dataset1_1,dataset1_1_supp
,,,,,3194.0,,,15.1,,,Fe2.2C1,,,,20.0,,,170.0,01.03,25.0,,,,10.1002/anie.201609477,anie.201609477.pdf,anie.201609477_SI.pdf,Angewandte Chemie International Edition,Wiley,2016,Magnetically Induced Continuous CO<sub>2</sub> Hydrogenation Using Composite Iron Carbide Nanoparticles of Exceptionally High Heating Power,0,,,,,,dataset1_1,dataset1_1_supp
,,,,,2946.0,,,15.1,,,Fe2.2C1,,,,20.0,,,170.0,01.03,25.0,,,,10.1002/anie.201609477,anie.201609477.pdf,anie.201609477_SI.pdf,Angewandte Chemie International Edition,Wiley,2016,Magnetically Induced Continuous CO<sub>2</sub> Hydrogenation Using Composite Iron Carbide Nanoparticles of Exceptionally High Heating Power,0,,,,,,dataset1_1,dataset1_1_supp
,,,,,110.9,,,16.0,,,Mn0.5Zn0.5Fe2O4,,,,30.0,,300.0,41.12,0.88,8.15,,,,10.1007/s10854-021-05946-y,s10854-021-05946-y.pdf,0,Journal of Materials Science: Materials in Electronics,Springer Science and Business Media LLC,2021,Synthesis and characterizations of magnetically inductive Mn–Zn spinel ferrite nanoparticles for hyperthermia applications,0,,,,,,dataset1_2,0
,,,8.35,,14.1,,,10.0,,,Zn1Fe2O4,,,,10.0,,300.0,41.06,67.3,0.625,,,,10.1007/s10856-015-5466-7,s10856-015-5466-7.pdf,0,Journal of Materials Science: Materials in Medicine,Springer Science and Business Media LLC,2015,"Superparamagnetic MFe2O4 (M = Ni, Co, Zn, Mn) nanoparticles: synthesis, characterization, induction heating and cell viability studies for cancer hyperthermia applications",0,,,,,,dataset1_3,0
,,,8.35,,42.26,,,10.0,,,Zn1Fe2O4,,,,10.0,,300.0,41.06,67.3,0.625,,,,10.1007/s10856-015-5466-7,s10856-015-5466-7.pdf,0,Journal of Materials Science: Materials in Medicine,Springer Science and Business Media LLC,2015,"Superparamagnetic MFe2O4 (M = Ni, Co, Zn, Mn) nanoparticles: synthesis, characterization, induction heating and cell viability studies for cancer hyperthermia applications",0,,,,,,dataset1_3,0
,,,8.35,,28.19,,,10.0,,,Zn1Fe2O4,,,,10.0,,300.0,41.06,67.3,0.625,,,,10.1007/s10856-015-5466-7,s10856-015-5466-7.pdf,0,Journal of Materials Science: Materials in Medicine,Springer Science and Business Media LLC,2015,"Superparamagnetic MFe2O4 (M = Ni, Co, Zn, Mn) nanoparticles: synthesis, characterization, induction heating and cell viability studies for cancer hyperthermia applications",0,,,,,,dataset1_3,0
,,,4.0,,14.1,,,4.0,,,Co1Fe2O4,,,,10.0,,300.0,48.01,123.8,0.724,,,,10.1007/s10856-015-5466-7,s10856-015-5466-7.pdf,0,Journal of Materials Science: Materials in Medicine,Springer Science and Business Media LLC,2015,"Superparamagnetic MFe2O4 (M = Ni, Co, Zn, Mn) nanoparticles: synthesis, characterization, induction heating and cell viability studies for cancer hyperthermia applications",0,,,,,,dataset1_3,0
,,,4.0,,21.14,,,4.0,,,Co1Fe2O4,,,,10.0,,300.0,48.01,123.8,0.724,,,,10.1007/s10856-015-5466-7,s10856-015-5466-7.pdf,0,Journal of Materials Science: Materials in Medicine,Springer Science and Business Media LLC,2015,"Superparamagnetic MFe2O4 (M = Ni, Co, Zn, Mn) nanoparticles: synthesis, characterization, induction heating and cell viability studies for cancer hyperthermia applications",0,,,,,,dataset1_3,0
,,,4.0,,35.24,,,4.0,,,Co1Fe2O4,,,,10.0,,300.0,48.01,123.8,0.724,,,,10.1007/s10856-015-5466-7,s10856-015-5466-7.pdf,0,Journal of Materials Science: Materials in Medicine,Springer Science and Business Media LLC,2015,"Superparamagnetic MFe2O4 (M = Ni, Co, Zn, Mn) nanoparticles: synthesis, characterization, induction heating and cell viability studies for cancer hyperthermia applications",0,,,,,,dataset1_3,0
,,,4.0,,,,,7.0,,,Ni1Fe2O4,,,,10.0,,300.0,17.49,20.04,0.021,,,,10.1007/s10856-015-5466-7,s10856-015-5466-7.pdf,0,Journal of Materials Science: Materials in Medicine,Springer Science and Business Media LLC,2015,"Superparamagnetic MFe2O4 (M = Ni, Co, Zn, Mn) nanoparticles: synthesis, characterization, induction heating and cell viability studies for cancer hyperthermia applications",0,,,,,,dataset1_3,0
,,,4.0,,,,,7.0,,,Mn1Fe2O4,,,,10.0,,300.0,51.99,44.52,0.522,,,,10.1007/s10856-015-5466-7,s10856-015-5466-7.pdf,0,Journal of Materials Science: Materials in Medicine,Springer Science and Business Media LLC,2015,"Superparamagnetic MFe2O4 (M = Ni, Co, Zn, Mn) nanoparticles: synthesis, characterization, induction heating and cell viability studies for cancer hyperthermia applications",0,,,,,,dataset1_3,0
,,,,,24.0,,,7.0,,,Fe1Fe2O4,,,,12.0,,300.0,65.1,0.0,0.0,,,,10.1007/s11051-022-05596-z,s11051-022-05596-z.pdf,0,Journal of Nanoparticle Research,Springer Science and Business Media LLC,2022,Dependence of specific absorption rate on concentration of Fe3O4 nanoparticles: from the prediction of Monte Carlo simulations to experimental results,0,,,,,,dataset1_4,0
,,,,,39.0,,,7.0,,,Fe1Fe2O4,,,,12.0,,300.0,65.1,0.0,0.0,,,,10.1007/s11051-022-05596-z,s11051-022-05596-z.pdf,0,Journal of Nanoparticle Research,Springer Science and Business Media LLC,2022,Dependence of specific absorption rate on concentration of Fe3O4 nanoparticles: from the prediction of Monte Carlo simulations to experimental results,0,,,,,,dataset1_4,0
,,,,,51.0,,,7.0,,,Fe1Fe2O4,,,,12.0,,300.0,65.1,0.0,0.0,,,,10.1007/s11051-022-05596-z,s11051-022-05596-z.pdf,0,Journal of Nanoparticle Research,Springer Science and Business Media LLC,2022,Dependence of specific absorption rate on concentration of Fe3O4 nanoparticles: from the prediction of Monte Carlo simulations to experimental results,0,,,,,,dataset1_4,0
,,,,,97.0,,,7.0,,,Fe1Fe2O4,,,,12.0,,300.0,65.1,0.0,0.0,-1580.0,,,10.1007/s11051-022-05596-z,s11051-022-05596-z.pdf,0,Journal of Nanoparticle Research,Springer Science and Business Media LLC,2022,Dependence of specific absorption rate on concentration of Fe3O4 nanoparticles: from the prediction of Monte Carlo simulations to experimental results,0,,,,,,dataset1_4,0
,,,,,22.0,,,11.0,,,Fe1Fe2O4,,,,12.0,,300.0,67.0,0.0,0.0,-990.0,,,10.1007/s11051-022-05596-z,s11051-022-05596-z.pdf,0,Journal of Nanoparticle Research,Springer Science and Business Media LLC,2022,Dependence of specific absorption rate on concentration of Fe3O4 nanoparticles: from the prediction of Monte Carlo simulations to experimental results,0,,,,,,dataset1_4,0
,,,,,30.0,,,11.0,,,Fe1Fe2O4,,,,12.0,,300.0,67.0,0.0,0.0,,,,10.1007/s11051-022-05596-z,s11051-022-05596-z.pdf,0,Journal of Nanoparticle Research,Springer Science and Business Media LLC,2022,Dependence of specific absorption rate on concentration of Fe3O4 nanoparticles: from the prediction of Monte Carlo simulations to experimental results,0,,,,,,dataset1_4,0
,,,,,53.0,,,11.0,,,Fe1Fe2O4,,,,12.0,,300.0,67.0,0.0,0.0,,,,10.1007/s11051-022-05596-z,s11051-022-05596-z.pdf,0,Journal of Nanoparticle Research,Springer Science and Business Media LLC,2022,Dependence of specific absorption rate on concentration of Fe3O4 nanoparticles: from the prediction of Monte Carlo simulations to experimental results,0,,,,,,dataset1_4,0
,,,,,65.0,,,11.0,,,Fe1Fe2O4,,,,12.0,,300.0,67.0,0.0,0.0,,,,10.1007/s11051-022-05596-z,s11051-022-05596-z.pdf,0,Journal of Nanoparticle Research,Springer Science and Business Media LLC,2022,Dependence of specific absorption rate on concentration of Fe3O4 nanoparticles: from the prediction of Monte Carlo simulations to experimental results,0,,,,,,dataset1_4,0
,,,,,26.0,,,17.0,,,Fe1Fe2O4,,,,12.0,,300.0,68.1,0.0,0.0,,,,10.1007/s11051-022-05596-z,s11051-022-05596-z.pdf,0,Journal of Nanoparticle Research,Springer Science and Business Media LLC,2022,Dependence of specific absorption rate on concentration of Fe3O4 nanoparticles: from the prediction of Monte Carlo simulations to experimental results,0,,,,,,dataset1_4,0
