pdf,smiles,doi,title,publisher,year,access,compound_id,target_type,target_relation,target_value,target_units,bacteria,bacteria_name_unified,bacteria_info,page_bacteria,origin_bacteria,section_bacteria,subsection_bacteria,page_target,origin_target,section_target,subsection_target,column_prop,line_prop,page_scaffold,origin_scaffold,section_scaffold,subsection_scaffold,page_residue,origin_residue,section_residue
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cccc3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,1,pMIC,'=',"5,52",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,3,table 1,,,,,2,figure 1,,,3,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ccc(C=O)c3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,2,pMIC,'=',"6,16",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,3,table 1,,,,,2,figure 1,,,3,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ccc(C=NO)c3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,3,pMIC,'=',"5,76",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,3,table 1,,,,,2,figure 1,,,3,table 1,
08927020601188528,CON=Cc1ccn(-c2ccc(N3C[C@H](CNC(C)=O)OC3=O)cc2F)c1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,4,pMIC,'=',"5,59",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,3,table 1,,,,,2,figure 1,,,3,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ccc(C#N)c3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,5,pMIC,'=',"5,86",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,3,table 1,,,,,2,figure 1,,,3,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ccc(CO)c3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,6,pMIC,'=',"5,56",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,3,table 1,,,,,2,figure 1,,,3,table 1,
08927020601188528,COC(=O)c1ccn(-c2ccc(N3C[C@H](CNC(C)=O)OC3=O)cc2F)c1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,7,pMIC,'=',"5,29",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,3,table 1,,,,,2,figure 1,,,3,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ccc(C(N)=O)c3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,8,pMIC,'=',"4,37",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,3,table 1,,,,,2,figure 1,,,3,table 1,
08927020601188528,CCOC(=O)C=Cc1ccn(-c2ccc(N3C[C@H](CNC(C)=O)OC3=O)cc2F)c1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,9,pMIC,'=',"5,03",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,3,table 1,,,,,2,figure 1,,,3,table 1,
08927020601188528,CCOC(=O)CCc1ccn(-c2ccc(N3C[C@H](CNC(C)=O)OC3=O)cc2F)c1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,10,pMIC,'=',"5,04",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,3,table 1,,,,,2,figure 1,,,3,table 1,
