,tp,fp,fn,precision,recall,f1
material,1.5862068965517242,1.9310344827586208,32.724137931034484,0.46494252873563224,0.06642646740065578,0.10904063323531764
shape,1.8448275862068966,1.6724137931034482,32.46551724137931,0.49137931034482757,0.09621806437056139,0.14008927755767567
coat_functional_group,2.3275862068965516,1.1896551724137931,31.982758620689655,0.7166666666666666,0.12317882048249071,0.19359386522583866
synthesis_method,0.9310344827586207,2.586206896551724,33.37931034482759,0.2945402298850575,0.05025675044997282,0.07845427703282687
surface_charge,1.5172413793103448,2.0,32.793103448275865,0.41810344827586204,0.08837233169129721,0.13341757237984753
core_nm,0.0,3.5172413793103448,34.310344827586206,0.0,0.0,0.0
size_in_medium_nm,0.1724137931034483,3.3448275862068964,34.13793103448276,0.0603448275862069,0.011336442434520444,0.017880158384533062
hydrodynamic_nm,0.7931034482758621,2.7241379310344827,33.51724137931034,0.20086206896551725,0.05212554543204129,0.0697328376292677
potential_mv,0.9137931034482759,2.603448275862069,33.39655172413793,0.26005747126436785,0.0449808429118774,0.07136615003360383
zeta_in_medium_mv,0.3103448275862069,3.206896551724138,34.0,0.08189655172413793,0.021202791461412154,0.031092087988639713
no_of_cells_cells_well,0.7586206896551724,2.7586206896551726,33.55172413793103,0.2011494252873563,0.0422434844848638,0.060008479978666575
human_animal,3.2413793103448274,0.27586206896551724,31.06896551724138,0.9339080459770115,0.17474664977075918,0.26481909979775586
cell_source,2.8275862068965516,0.6896551724137931,31.482758620689655,0.8563218390804598,0.15205576307125185,0.2367949214743889
cell_tissue,1.3620689655172413,2.1551724137931036,32.94827586206897,0.44137931034482764,0.08699766262935107,0.1327476229111408
cell_morphology,1.5172413793103448,2.0,32.793103448275865,0.3879310344827586,0.07547161889834303,0.11836122988856522
cell_age,1.4827586206896552,2.0344827586206895,32.827586206896555,0.4396551724137931,0.08004084038566796,0.12325463459634727
time_hr,0.0,3.5172413793103448,34.310344827586206,0.0,0.0,0.0
concentration,1.8103448275862069,1.706896551724138,32.5,0.48850574712643674,0.09691002225273,0.14184777809570423
test,2.2413793103448274,1.2758620689655173,32.06896551724138,0.6172413793103447,0.13344628413859522,0.194391693667705
test_indicator,1.6206896551724137,1.896551724137931,32.689655172413794,0.382183908045977,0.08448441515145869,0.1217344811869167
viability_%,0.39655172413793105,3.1206896551724137,33.91379310344828,0.06609195402298851,0.02229064039408867,0.03002666286870959
