,tp,fp,fn,precision,recall,f1
name,0.0,2.7333333333333334,5.55,0.0,0.0,0.0
np_core,0.9666666666666667,1.7666666666666666,4.583333333333333,0.40753968253968254,0.22499669312169307,0.26241498353727455
np_shell,1.1166666666666667,1.6166666666666667,4.433333333333334,0.32216810966810966,0.21548881673881673,0.23675565175565177
core_shell_formula,0.8333333333333334,1.9,4.716666666666667,0.28792929292929287,0.16570376382876387,0.18899103820156454
np_shell_2,2.4,0.3333333333333333,3.15,0.7777777777777778,0.47484517797017795,0.534639413447463
np_shell_3,2.6,0.13333333333333333,2.95,0.8694444444444444,0.573109066859067,0.6261545649626143
np_hydro_size,0.21666666666666667,2.5166666666666666,5.333333333333333,0.0625,0.04000000000000001,0.04423400673400673
xrd_scherrer_size,0.2,2.533333333333333,5.35,0.07777777777777777,0.039328703703703706,0.04819966583124478
emic_size,0.5333333333333333,2.2,5.016666666666667,0.1838888888888889,0.1352651515151515,0.13689393939393937
crystal_structure_core_shell,1.0833333333333333,1.65,4.466666666666667,0.2944444444444444,0.24604166666666666,0.25731595402648033
space_group_core,1.0,1.7333333333333334,4.55,0.30277777777777776,0.23082070707070707,0.24049663299663301
space_group_shell,1.2833333333333334,1.45,4.266666666666667,0.3527777777777778,0.2877651515151515,0.2901430976430976
xrd_crystallinity,1.2166666666666666,1.5166666666666666,4.333333333333333,0.34246031746031746,0.24997685185185187,0.27480512406982993
squid_sat_mag,0.7666666666666667,1.9666666666666666,4.783333333333333,0.20265151515151514,0.16798611111111109,0.15899161897613906
squid_rem_mag,0.7833333333333333,1.95,4.766666666666667,0.2409090909090909,0.1725631313131313,0.1885978835978836
exchange_bias_shift_Oe,0.0,2.7333333333333334,5.55,0.0,0.0,0.0
vertical_loop_shift_M_vsl_emu_g,0.1,2.6333333333333333,5.45,0.03888888888888889,0.016755952380952382,0.02073586744639376
hc_kOe,0.05,2.683333333333333,5.5,0.010317460317460317,0.004375,0.005675954592363261
squid_h_max,0.38333333333333336,2.35,5.166666666666667,0.16904761904761903,0.07880681818181817,0.0904779104624306
zfc_h_meas,0.0,2.7333333333333334,5.55,0.0,0.0,0.0
instrument,0.2,2.533333333333333,5.35,0.05138888888888889,0.060000000000000005,0.05277777777777778
fc_field_T,0.1,2.6333333333333333,5.45,0.06111111111111111,0.037222222222222226,0.04404761904761905
squid_temperature,1.0333333333333334,1.7,4.516666666666667,0.34404761904761905,0.19604888167388165,0.21969508217960232
coercivity,0.48333333333333334,2.25,5.066666666666666,0.15202020202020203,0.10200757575757577,0.11267195767195767
htherm_sar,0.05,2.683333333333333,5.5,0.0125,0.0125,0.0125
mri_r1,0.6,2.1333333333333333,4.95,0.1722222222222222,0.13922348484848485,0.1461868686868687
mri_r2,0.75,1.9833333333333334,4.8,0.17638888888888887,0.1515151515151515,0.14307239057239057
blocking_temperature_K,0.16666666666666666,2.566666666666667,5.383333333333334,0.058333333333333334,0.025694444444444447,0.031428571428571424
curie_temperature_K,0.016666666666666666,2.716666666666667,5.533333333333333,0.016666666666666666,0.0023809523809523807,0.004166666666666667
