,tp,fp,fn,precision,recall,f1
name,0.0,2.7333333333333334,5.55,0.0,0.0,0.0
np_core,0.9666666666666667,1.7666666666666666,4.583333333333333,0.40753968253968254,0.2249966931216931,0.2624149835372746
np_shell,1.1166666666666667,1.6166666666666667,4.433333333333334,0.32216810966810966,0.21548881673881673,0.23675565175565177
core_shell_formula,0.8333333333333334,1.9,4.716666666666667,0.287929292929293,0.1657037638287638,0.18899103820156452
np_shell_2,2.4,0.3333333333333333,3.15,0.7777777777777778,0.474845177970178,0.534639413447463
np_hydro_size,0.21666666666666667,2.5166666666666666,5.333333333333333,0.0625,0.04,0.04423400673400673
xrd_scherrer_size,0.2,2.533333333333333,5.35,0.07777777777777778,0.0393287037037037,0.04819966583124478
emic_size,0.5333333333333333,2.2,5.016666666666667,0.18388888888888888,0.1352651515151515,0.13689393939393937
space_group_core,1.0,1.7333333333333334,4.55,0.3027777777777778,0.23082070707070707,0.240496632996633
space_group_shell,1.2833333333333334,1.45,4.266666666666667,0.35277777777777775,0.2877651515151516,0.2901430976430977
squid_sat_mag,0.7666666666666667,1.9666666666666666,4.783333333333333,0.20265151515151517,0.16798611111111109,0.1589916189761391
squid_rem_mag,0.7833333333333333,1.95,4.766666666666667,0.2409090909090909,0.1725631313131313,0.1885978835978836
exchange_bias_shift_Oe,0.0,2.7333333333333334,5.55,0.0,0.0,0.0
vertical_loop_shift_M_vsl_emu_g,0.1,2.6333333333333333,5.45,0.03888888888888888,0.016755952380952382,0.020735867446393764
hc_kOe,0.05,2.683333333333333,5.5,0.010317460317460317,0.004375,0.005675954592363261
squid_h_max,0.38333333333333336,2.35,5.166666666666667,0.16904761904761903,0.07880681818181819,0.09047791046243057
zfc_h_meas,0.0,2.7333333333333334,5.55,0.0,0.0,0.0
instrument,0.2,2.533333333333333,5.35,0.051388888888888894,0.060000000000000005,0.05277777777777778
fc_field_T,0.1,2.6333333333333333,5.45,0.06111111111111111,0.037222222222222226,0.04404761904761905
squid_temperature,1.0333333333333334,1.7,4.516666666666667,0.34404761904761905,0.19604888167388163,0.21969508217960235
coercivity,0.48333333333333334,2.25,5.066666666666666,0.15202020202020203,0.10200757575757576,0.11267195767195767
htherm_sar,0.05,2.683333333333333,5.5,0.0125,0.0125,0.0125
mri_r1,0.6,2.1333333333333333,4.95,0.17222222222222222,0.13922348484848485,0.1461868686868687
mri_r2,0.75,1.9833333333333334,4.8,0.1763888888888889,0.1515151515151515,0.14307239057239057
