,tp,fp,fn,precision,recall,f1
np,0.5671641791044776,0.31343283582089554,7.08955223880597,0.12313432835820895,0.048243521907239933,0.06251569768744171
coating,0.43283582089552236,0.44776119402985076,7.223880597014926,0.1044776119402985,0.03686381755817188,0.048099144091783626
bacteria,0.835820895522388,0.04477611940298507,6.82089552238806,0.1701314854299929,0.07415658332824548,0.08933688644892895
mdr,0.5373134328358209,0.34328358208955223,7.119402985074627,0.11082089552238805,0.048836770954792344,0.05806853304808733
strain,0.5671641791044776,0.31343283582089554,7.08955223880597,0.10902629708599858,0.04852472458948091,0.059124939328374204
np_synthesis,0.1044776119402985,0.7761194029850746,7.552238805970149,0.014925373134328358,0.014925373134328358,0.014925373134328358
method,0.7164179104477612,0.16417910447761194,6.940298507462686,0.15485074626865672,0.06796199237324606,0.08223205098588456
mic_np_µg_ml,0.2537313432835821,0.6268656716417911,7.402985074626866,0.05883084577114427,0.028891257995735605,0.034712799638172774
concentration,0.14925373134328357,0.7313432835820896,7.507462686567164,0.029850746268656716,0.007331762241424456,0.011533242876526458
zoi_np_mm,0.23880597014925373,0.6417910447761194,7.417910447761194,0.053482587064676616,0.016038229903116,0.023057787983161115
np_size_min_nm,0.26865671641791045,0.6119402985074627,7.388059701492537,0.05970149253731343,0.015289869118551793,0.02294954244964468
np_size_max_nm,0.3283582089552239,0.5522388059701493,7.3283582089552235,0.07462686567164178,0.017215723716529643,0.02636105630891973
np_size_avg_nm,0.373134328358209,0.5074626865671642,7.2835820895522385,0.08955223880597014,0.032386205617873365,0.041210510337478246
shape,0.6716417910447762,0.208955223880597,6.985074626865671,0.13246268656716417,0.05688579441566554,0.06923758276753574
time_set_hours,0.7164179104477612,0.16417910447761194,6.940298507462686,0.14738805970149255,0.061363406355964045,0.07612621652184115
zeta_potential_mV,0.16417910447761194,0.7164179104477612,7.492537313432836,0.027985074626865673,0.01766155108140832,0.019687521297621483
solvent_for_extract,0.23880597014925373,0.6417910447761194,7.417910447761194,0.05970149253731343,0.01883804688330446,0.02721296116818505
temperature_for_extract_C,0.417910447761194,0.4626865671641791,7.2388059701492535,0.06716417910447761,0.04601990049751244,0.049796472184531884
duration_preparing_extract_min,0.1791044776119403,0.7014925373134329,7.477611940298507,0.022388059701492536,0.02345415778251599,0.022885572139303482
precursor_of_np,0.5223880597014925,0.3582089552238806,7.134328358208955,0.09813432835820896,0.048668430855322485,0.05451896804892102
concentration_of_precursor_mM,0.3880597014925373,0.4925373134328358,7.268656716417911,0.07276119402985075,0.03898365316275764,0.04355495251017639
hydrodynamic_diameter_nm,0.16417910447761194,0.7164179104477612,7.492537313432836,0.020522388059701493,0.022388059701492536,0.021393034825870648
ph_during_synthesis,0.0,0.8805970149253731,7.656716417910448,0.0,0.0,0.0
